borough,crime_type,hour_of_day,incident_count
(null),ARSON,2,1
(null),ARSON,5,1
(null),ARSON,9,1
(null),ARSON,12,1
(null),BURGLARY,9,1
(null),CRIMINAL MISCHIEF & RELATED OF,2,1
(null),CRIMINAL MISCHIEF & RELATED OF,5,1
(null),CRIMINAL MISCHIEF & RELATED OF,8,1
(null),CRIMINAL TRESPASS,18,1
(null),DANGEROUS WEAPONS,8,1
(null),GRAND LARCENY,10,1
(null),MISCELLANEOUS PENAL LAW,9,1
(null),OFFENSES AGAINST PUBLIC ADMINI,15,1
(null),OFFENSES AGAINST PUBLIC ADMINI,17,1
(null),OFFENSES AGAINST PUBLIC ADMINI,22,1
(null),OTHER OFFENSES RELATED TO THEF,12,1
(null),PETIT LARCENY,0,2
(null),PETIT LARCENY,1,1
(null),PETIT LARCENY,2,2
(null),PETIT LARCENY,8,1
(null),PETIT LARCENY,9,3
(null),PETIT LARCENY,10,3
(null),PETIT LARCENY,11,7
(null),PETIT LARCENY,12,9
(null),PETIT LARCENY,13,7
(null),PETIT LARCENY,14,11
(null),PETIT LARCENY,15,8
(null),PETIT LARCENY,16,13
(null),PETIT LARCENY,17,8
(null),PETIT LARCENY,18,6
(null),PETIT LARCENY,19,3
(null),PETIT LARCENY,20,5
(null),PETIT LARCENY,21,2
(null),PETIT LARCENY,22,3
(null),PETIT LARCENY,23,4
(null),VEHICLE AND TRAFFIC LAWS,19,1
BRONX,(null),23,1
BRONX,ADMINISTRATIVE CODE,0,7
BRONX,ADMINISTRATIVE CODE,1,3
BRONX,ADMINISTRATIVE CODE,2,3
BRONX,ADMINISTRATIVE CODE,4,1
BRONX,ADMINISTRATIVE CODE,5,1
BRONX,ADMINISTRATIVE CODE,7,2
BRONX,ADMINISTRATIVE CODE,8,1
BRONX,ADMINISTRATIVE CODE,10,2
BRONX,ADMINISTRATIVE CODE,11,3
BRONX,ADMINISTRATIVE CODE,12,2
BRONX,ADMINISTRATIVE CODE,14,3
BRONX,ADMINISTRATIVE CODE,15,1
BRONX,ADMINISTRATIVE CODE,16,1
BRONX,ADMINISTRATIVE CODE,18,1
BRONX,ADMINISTRATIVE CODE,19,4
BRONX,ADMINISTRATIVE CODE,20,2
BRONX,ADMINISTRATIVE CODE,21,1
BRONX,ADMINISTRATIVE CODE,22,1
BRONX,ADMINISTRATIVE CODE,23,1
BRONX,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,7,2
BRONX,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,10,2
BRONX,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,14,1
BRONX,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,19,2
BRONX,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,20,1
BRONX,ARSON,0,3
BRONX,ARSON,1,1
BRONX,ARSON,3,1
BRONX,ARSON,4,3
BRONX,ARSON,6,2
BRONX,ARSON,7,2
BRONX,ARSON,10,2
BRONX,ARSON,13,1
BRONX,ARSON,14,2
BRONX,ARSON,17,1
BRONX,ARSON,18,2
BRONX,ARSON,21,1
BRONX,ARSON,23,1
BRONX,ASSAULT 3 & RELATED OFFENSES,0,60
BRONX,ASSAULT 3 & RELATED OFFENSES,1,49
BRONX,ASSAULT 3 & RELATED OFFENSES,2,35
BRONX,ASSAULT 3 & RELATED OFFENSES,3,31
BRONX,ASSAULT 3 & RELATED OFFENSES,4,32
BRONX,ASSAULT 3 & RELATED OFFENSES,5,20
BRONX,ASSAULT 3 & RELATED OFFENSES,6,26
BRONX,ASSAULT 3 & RELATED OFFENSES,7,36
BRONX,ASSAULT 3 & RELATED OFFENSES,8,47
BRONX,ASSAULT 3 & RELATED OFFENSES,9,41
BRONX,ASSAULT 3 & RELATED OFFENSES,10,43
BRONX,ASSAULT 3 & RELATED OFFENSES,11,42
BRONX,ASSAULT 3 & RELATED OFFENSES,12,59
BRONX,ASSAULT 3 & RELATED OFFENSES,13,67
BRONX,ASSAULT 3 & RELATED OFFENSES,14,75
BRONX,ASSAULT 3 & RELATED OFFENSES,15,90
BRONX,ASSAULT 3 & RELATED OFFENSES,16,80
BRONX,ASSAULT 3 & RELATED OFFENSES,17,91
BRONX,ASSAULT 3 & RELATED OFFENSES,18,76
BRONX,ASSAULT 3 & RELATED OFFENSES,19,66
BRONX,ASSAULT 3 & RELATED OFFENSES,20,66
BRONX,ASSAULT 3 & RELATED OFFENSES,21,77
BRONX,ASSAULT 3 & RELATED OFFENSES,22,64
BRONX,ASSAULT 3 & RELATED OFFENSES,23,55
BRONX,BURGLAR'S TOOLS,0,1
BRONX,BURGLARY,0,14
BRONX,BURGLARY,1,13
BRONX,BURGLARY,2,11
BRONX,BURGLARY,3,9
BRONX,BURGLARY,4,9
BRONX,BURGLARY,5,9
BRONX,BURGLARY,6,4
BRONX,BURGLARY,7,5
BRONX,BURGLARY,8,15
BRONX,BURGLARY,9,4
BRONX,BURGLARY,10,9
BRONX,BURGLARY,11,10
BRONX,BURGLARY,12,8
BRONX,BURGLARY,13,6
BRONX,BURGLARY,14,11
BRONX,BURGLARY,15,10
BRONX,BURGLARY,16,14
BRONX,BURGLARY,17,17
BRONX,BURGLARY,18,21
BRONX,BURGLARY,19,10
BRONX,BURGLARY,20,18
BRONX,BURGLARY,21,16
BRONX,BURGLARY,22,9
BRONX,BURGLARY,23,5
BRONX,CANNABIS RELATED OFFENSES,12,2
BRONX,CANNABIS RELATED OFFENSES,19,3
BRONX,CHILD ABANDONMENT/NON SUPPORT,1,1
BRONX,CHILD ABANDONMENT/NON SUPPORT,2,1
BRONX,CHILD ABANDONMENT/NON SUPPORT,15,1
BRONX,CHILD ABANDONMENT/NON SUPPORT,21,2
BRONX,CRIMINAL MISCHIEF & RELATED OF,0,41
BRONX,CRIMINAL MISCHIEF & RELATED OF,1,30
BRONX,CRIMINAL MISCHIEF & RELATED OF,2,19
BRONX,CRIMINAL MISCHIEF & RELATED OF,3,21
BRONX,CRIMINAL MISCHIEF & RELATED OF,4,19
BRONX,CRIMINAL MISCHIEF & RELATED OF,5,19
BRONX,CRIMINAL MISCHIEF & RELATED OF,6,36
BRONX,CRIMINAL MISCHIEF & RELATED OF,7,27
BRONX,CRIMINAL MISCHIEF & RELATED OF,8,20
BRONX,CRIMINAL MISCHIEF & RELATED OF,9,47
BRONX,CRIMINAL MISCHIEF & RELATED OF,10,25
BRONX,CRIMINAL MISCHIEF & RELATED OF,11,24
BRONX,CRIMINAL MISCHIEF & RELATED OF,12,35
BRONX,CRIMINAL MISCHIEF & RELATED OF,13,19
