borough,cuisine,name,rating,reduced_cuisine
Manhattan,Italian,PRICELESS | The Rock,5.0,European
Manhattan,African,PRICELESS | The Rock,5.0,African
Manhattan,Cocktail Bars,PRICELESS | The Rock,5.0,Bars & Nightlife
Manhattan,Tacos,Tacos 3 Hermanos,5.0,Latin American
Manhattan,Street Vendors,Tacos 3 Hermanos,5.0,Street Food
Manhattan,Themed Cafes,The Monroe,5.0,Other
Manhattan,Salvadoran,Anitas Restaurant,5.0,Latin American
Manhattan,Mexican,Anitas Restaurant,5.0,Latin American
Manhattan,Food Trucks,136th and Broadway Taco Cart,5.0,Street Food
Manhattan,Mexican,136th and Broadway Taco Cart,5.0,Latin American
Manhattan,Cafes,11:11 CAFE,5.0,Cafe & Drinks
Manhattan,Japanese,Erotori,5.0,Asian
Manhattan,Food Trucks,Erotori,5.0,Street Food
Manhattan,Cocktail Bars,Two Perrys,5.0,Bars & Nightlife
Manhattan,Pubs,Two Perrys,5.0,Bars & Nightlife
Manhattan,Cafes,Two Perrys,5.0,Cafe & Drinks
Manhattan,Bars,Kaptan's Deck,5.0,Bars & Nightlife
Manhattan,Barbeque,Kaptan's Deck,5.0,Barbeque
Manhattan,Breakfast & Brunch,Corona Eats BBNY,5.0,American
Manhattan,Food Trucks,Corona Eats BBNY,5.0,Street Food
Manhattan,Sushi Bars,Hakata Japanese Market,5.0,Asian
Manhattan,Japanese,Hakata Japanese Market,5.0,Asian
Manhattan,International Grocery,Hakata Japanese Market,5.0,Other
Manhattan,Tapas/Small Plates,Shoe Bar,5.0,European
Manhattan,Coffee & Tea,Shoe Bar,5.0,Cafe & Drinks
Manhattan,Cocktail Bars,Shoe Bar,5.0,Bars & Nightlife
Manhattan,Coffee & Tea,Camellia Milk Tea,5.0,Cafe & Drinks
Manhattan,Food Stands,Camellia Milk Tea,5.0,Street Food
Manhattan,Mexican,Gourmet Deli 65,5.0,Latin American
Manhattan,Sandwiches,Gourmet Deli 65,5.0,Sandwiches
Manhattan,Delis,Gourmet Deli 65,5.0,Sandwiches
Manhattan,Delis,Uris Deli,5.0,Sandwiches
Manhattan,Halal,Halal Food,5.0,Middle Eastern & Mediterranean
Manhattan,Street Vendors,Halal Food,5.0,Street Food
Manhattan,Greek,John the Greek,5.0,European
Manhattan,New American,Bronx River Yacht Club,5.0,American
Manhattan,Cocktail Bars,Bronx River Yacht Club,5.0,Bars & Nightlife
Manhattan,Sandwiches,Bronx River Yacht Club,5.0,Sandwiches
Manhattan,Food Trucks,Tacos Sin Tequila,5.0,Street Food
Manhattan,Tacos,Tacos Sin Tequila,5.0,Latin American
Manhattan,Street Vendors,Tsrs Fresh Halal Gourmet,5.0,Street Food
Manhattan,Halal,Tsrs Fresh Halal Gourmet,5.0,Middle Eastern & Mediterranean
Manhattan,Food Trucks,Nancy Halal Food Truck,5.0,Street Food
Manhattan,Halal,Nancy Halal Food Truck,5.0,Middle Eastern & Mediterranean
Manhattan,Puerto Rican,787 Coffee,5.0,Latin American
Manhattan,Coffee & Tea,787 Coffee,5.0,Cafe & Drinks
Manhattan,Empanadas,787 Coffee,5.0,Latin American
Manhattan,Food Trucks,Taqueria Gardenias,5.0,Street Food
Manhattan,Mexican,Taqueria Gardenias,5.0,Latin American
Manhattan,Latin American,Malabar,5.0,Latin American
Manhattan,Chicken Wings,Malabar,5.0,Fast Food
Manhattan,Cocktail Bars,Malabar,5.0,Bars & Nightlife
Manhattan,Head Shops,Finest Deli & Smokeshop,5.0,Other
Manhattan,Delis,Finest Deli & Smokeshop,5.0,Sandwiches
Manhattan,Vegan,Kraves Vegan Foods ,5.0,Healthy
Manhattan,Delis,85th Street Deli,5.0,Sandwiches
Manhattan,Sandwiches,85th Street Deli,5.0,Sandwiches
Manhattan,Seafood,Vallarta Tropical,5.0,Seafood
Manhattan,Mexican,Vallarta Tropical,5.0,Latin American
Manhattan,Italian,Caffe Italia,5.0,European
